Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17102024,1183075948,0002506
Trade Date <17-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2245,TASTYBITE,EQ,2119,1188,56.06
20,2246,TATACHEM,EQ,1406274,442456,31.46
20,2247,TATACOMM,EQ,1131344,501691,44.34
20,2248,TATACONSUM,EQ,975432,512842,52.58
20,2249,TATAELXSI,EQ,167307,39085,23.36
20,2250,TATAGOLD,EQ,3109829,2348433,75.52
20,2251,TATAINVEST,EQ,47989,16446,34.27
20,2252,TATAMOTORS,EQ,13864583,7034111,50.73
20,2253,TATAPOWER,EQ,10204584,4511219,44.21
20,2254,TATASTEEL,EQ,28404223,10631356,37.43
20,2255,TATATECH,EQ,1259528,501270,39.80
20,2256,TATSILV,EQ,965619,750041,77.67
20,2257,TATVA,EQ,18270,10835,59.30
20,2258,TBI,ST,10800,9600,88.89
20,2259,TBOTEK,EQ,9901,4735,47.82
20,2260,TBZ,EQ,816842,345065,42.24
20,2261,TCI,EQ,31329,12250,39.10
20,2262,TCIEXP,EQ,16686,9698,58.12
20,2263,TCL,SM,15200,11200,73.68
20,2264,TCPLPACK,EQ,2910,1871,64.30
20,2265,TCS,EQ,2522659,1879351,74.50
20,2266,TDPOWERSYS,EQ,437840,264017,60.30
20,2267,TEAMLEASE,EQ,13138,6459,49.16
20,2268,TECH,EQ,8593,6205,72.21
20,2269,TECHERA,SM,819200,521600,63.67
20,2270,TECHLABS,SM,99000,75500,76.26
20,2271,TECHM,EQ,3771316,1760289,46.68
20,2272,TECHNOE,EQ,358130,283695,79.22
20,2273,TEGA,EQ,20837,11443,54.92
20,2274,TEJASNET,EQ,472418,275498,58.32
20,2275,TERASOFT,EQ,83327,30174,36.21
20,2276,TEXINFRA,EQ,389207,171474,44.06
20,2277,TEXMOPIPES,EQ,221559,113762,51.35
20,2278,TEXRAIL,EQ,2483873,643619,25.91
20,2279,TFCILTD,EQ,361237,232330,64.32
20,2280,TGBHOTELS,EQ,164854,111309,67.52
20,2281,TGL,ST,14400,14400,100.00
20,2282,THANGAMAYL,EQ,87549,29055,33.19
20,2283,THEINVEST,EQ,26189,11915,45.50
20,2284,THEJO,EQ,12191,8544,70.08
20,2285,THEMISMED,EQ,41292,25183,60.99
20,2286,THERMAX,EQ,31767,14148,44.54
20,2287,THESL,SM,108000,69000,63.89
